CO2Mean,GMean,H2OMean,O2Mean,Points_0,Points_1,Points_2,TMean,UMean_0,UMean_1,UMean_2,rhoMean
0.000183504,78061.3,0.000150233,0.232728,0.475,0,0.1,338.91,0,0,0,1.03765
0.000183818,78050.3,0.00015049,0.232727,0.475,0.00098,0.1,338.954,-0.0102568,0.00268637,0.0133968,1.03752
0.000184133,78039.3,0.000150748,0.232727,0.475,0.00196,0.1,338.998,-0.0205136,0.00537273,0.0267936,1.03739
0.000184448,78028.3,0.000151006,0.232726,0.475,0.00294,0.1,339.041,-0.0307704,0.0080591,0.0401904,1.03725
0.000184762,78017.3,0.000151263,0.232726,0.475,0.00392,0.1,339.085,-0.0410273,0.0107455,0.0535872,1.03712
0.000185077,78006.3,0.000151521,0.232725,0.475,0.0049,0.1,339.129,-0.0512841,0.0134318,0.066984,1.03699
0.000185391,77995.3,0.000151778,0.232725,0.475,0.00588,0.1,339.173,-0.0615409,0.0161182,0.0803808,1.03685
0.000185706,77984.2,0.000152036,0.232724,0.475,0.00686,0.1,339.217,-0.0717977,0.0188046,0.0937776,1.03672
0.000186021,77973.2,0.000152293,0.232724,0.475,0.00784,0.1,339.26,-0.0820545,0.0214909,0.107174,1.03659
0.000186335,77962.2,0.000152551,0.232723,0.475,0.00882,0.1,339.304,-0.0923113,0.0241773,0.120571,1.03645
0.00018665,77951.2,0.000152809,0.232723,0.475,0.0098,0.1,339.348,-0.102568,0.0268637,0.133968,1.03632
0.000186964,77940.2,0.000153066,0.232722,0.475,0.01078,0.1,339.392,-0.112825,0.02955,0.147365,1.03619
0.000187279,77929.2,0.000153324,0.232722,0.475,0.01176,0.1,339.436,-0.123082,0.0322364,0.160762,1.03606
0.000187594,77918.2,0.000153581,0.232721,0.475,0.01274,0.1,339.479,-0.133339,0.0349227,0.174158,1.03592
0.000187908,77907.2,0.000153839,0.232721,0.475,0.01372,0.1,339.523,-0.143595,0.0376091,0.187555,1.03579
0.000188223,77896.2,0.000154096,0.23272,0.475,0.0147,0.1,339.567,-0.153852,0.0402955,0.200952,1.03566
0.000188538,77885.2,0.000154354,0.23272,0.475,0.01568,0.1,339.611,-0.164109,0.0429818,0.214349,1.03552
0.000188852,77874.2,0.000154612,0.232719,0.475,0.01666,0.1,339.654,-0.174366,0.0456682,0.227745,1.03539
0.000189167,77863.2,0.000154869,0.232719,0.475,0.01764,0.1,339.698,-0.184623,0.0483546,0.241142,1.03526
0.000189481,77852.2,0.000155127,0.232718,0.475,0.01862,0.1,339.742,-0.194879,0.0510409,0.254539,1.03512
0.000189789,77838.4,0.000155379,0.232718,0.475,0.0196,0.1,339.783,-0.204909,0.0539314,0.264966,1.035
0.000190491,77818.2,0.000155953,0.232717,0.475,0.02058,0.1,339.885,-0.206733,0.0548297,0.264421,1.03469
0.000191192,77798,0.000156527,0.232716,0.475,0.02156,0.1,339.987,-0.208556,0.055728,0.263875,1.03438
0.000191894,77777.8,0.000157102,0.232715,0.475,0.02254,0.1,340.089,-0.210379,0.0566262,0.263329,1.03407
